id,oracion
1,Los gatos son animales domésticos muy populares.
2,Me gusta caminar por el parque en las mañanas.
3,María estaba comprando verduras frescas en el mercado.
4,La tecnología avanza rápidamente y nos facilita la vida.
5,Los estudiantes estudian para sus exámenes finales.
6,Pedro corre todos los días para mantenerse en forma.
7,La lectura es un hábito saludable que todos deberían practicar.
8,Ella encontró un libro interesante en la biblioteca.
9,Los niños juegan en el patio durante el recreo.
10,El clima en esta ciudad es muy variable.
11,Los ingenieros diseñan soluciones innovadoras para problemas complejos.
12,La música clásica tiene un efecto relajante.
13,Los turistas visitan la ciudad para disfrutar de su cultura y gastronomía.
14,Estoy aprendiendo a cocinar platos típicos de mi país.
15,El tren llegó a tiempo a la estación.
16,Los pájaros cantan al amanecer.
17,El nuevo proyecto de construcción comenzará la próxima semana.
18,Ayer fuimos al cine y vimos una película emocionante.
19,Los árboles del parque están floreciendo en primavera.
20,La comunicación efectiva es clave en cualquier relación.
